,overlapping.F1.mean,overlapping.F1.sd,overlapping.F1v.mean,overlapping.F1v.sd,overlapping.F2.mean,overlapping.F2.sd,overlapping.F3.mean,overlapping.F3.sd,overlapping.F4.mean,overlapping.F4.sd,neighborhood.N1,neighborhood.N2.mean,neighborhood.N2.sd,neighborhood.N3.mean,neighborhood.N3.sd,neighborhood.N4.mean,neighborhood.N4.sd,neighborhood.T1.mean,neighborhood.T1.sd,neighborhood.LSC,linearity.L1.mean,linearity.L1.sd,linearity.L2.mean,linearity.L2.sd,linearity.L3.mean,linearity.L3.sd,dimensionality.T2,dimensionality.T3,dimensionality.T4,balance.C1,balance.C2,network.Density,network.ClsCoef,network.Hubs.mean,network.Hubs.sd
led7digit-0-2-4-5-6-7-8-9_vs_1,0.9132893284533014,0.06743758535328392,0.1301734498609699,,1.0,,1.0,,1.0,,0.0744920993227991,0.04818262411347518,0.16926098466529738,0.06320541760722348,0.24360716981085104,0.060948081264108354,0.23950553232290575,0.008956528071069685,0.06878996829710264,0.7943123277061285,0.043196795943699184,,0.036117381489842004,,0.033860045146726914,,0.01580135440180587,0.01580135440180587,1.0,0.4144672747729581,0.8192352817303932,0.8661634474939481,0.7940861889224353,0.690625745547306,0.20255962831662844
ecoli-0-3-4_vs_5,0.9091969419922037,0.1058372346340326,0.08917534032451657,,0.0,,0.775,,0.06,,0.075,0.21532105085790612,0.12300446380571815,0.035,0.18424093903932007,0.01,0.09974842727441166,0.06249999999999999,0.17036235890986404,0.631175,0.03439096174093925,,0.020000000000000018,,0.025000000000000022,,0.035,0.025,0.7142857142857143,0.46899559358928117,0.7804878048780488,0.8084924623115578,0.47215581670399354,0.8020921304819502,0.15803977426729707
yeast-2_vs_4,0.913286339306206,0.11869645277564209,0.11720752335288692,,0.0,,0.8754863813229572,,0.6167315175097277,,0.07782101167315175,0.2757521124826949,0.13750725002412903,0.042801556420233464,0.20260662852803893,0.017509727626459144,0.13128850461921576,0.012345679012345678,0.06063531669751203,0.8654294538902936,0.0386884154137922,,0.040856031128404635,,0.02529182879377434,,0.01556420233463035,0.011673151750972763,0.75,0.4665238606918631,0.7823385721528322,0.8043249065161824,0.5213463599245804,0.8261424319286617,0.12168103590790426
yeast-2_vs_8,0.9338845539993501,0.17707302218644244,0.03743902047569713,,0.0,,0.8360995850622407,,0.529045643153527,,0.043568464730290454,0.27616453677450714,0.1329511572861125,0.029045643153526972,0.16810896993021882,0.008298755186721992,0.09081297153415376,0.020833333333333332,0.05260264065629874,0.9025283655584443,0.02032545430152144,,0.020746887966805017,,0.03319502074688796,,0.016597510373443983,0.014522821576763486,0.875,0.24909967018853862,0.9135818634144517,0.7969824276878219,0.5254493176578274,0.8208397731836076,0.11536825783688945
shuttle-c0-vs-c4,0.7690270969717021,0.28172350536649005,0.00528800654601656,,0.0,,0.0,,0.0,,0.002186987424822307,0.006766725608858918,0.01764037756104137,0.0005467468562055768,0.023382618677247783,0.0,0.0,0.16666666666666666,0.3722109348970588,0.15071619653113189,0.0,,0.0,,0.0,,0.004920721705850191,0.002186987424822307,0.4444444444444444,0.35557583925351166,0.8565487350306693,0.8268487401492846,0.32409852532209804,0.8543537317638026,0.23770193005902437
glass-0-1-6_vs_5,0.967226389711459,0.038834470418340365,0.128161620577485,,0.0,,0.15760869565217395,,0.0,,0.07065217391304347,0.19242993080539825,0.126090004117928,0.03260869565217391,0.17809477163447354,0.03804347826086957,0.19182322879353136,0.049999999999999996,0.13652132008855802,0.5980328449905482,0.0015229610069875665,,0.010869565217391353,,0.0,,0.04891304347826087,0.021739130434782608,0.4444444444444444,0.2817615778850653,0.8974141861525434,0.8078522214302685,0.44141298802264284,0.854264569410224,0.16153841762110405
yeast-1_vs_7,0.9755522368475824,0.02188649879383959,0.27836369672197725,,0.0,,0.7734204793028323,,0.4684095860566449,,0.12418300653594772,0.35575976972934786,0.10922107500186781,0.07407407407407407,0.2621771521888821,0.037037037037037035,0.18905863309442805,0.009009009009009009,0.030958133143747624,0.9389930748382626,0.06134104712730637,,0.065359477124183,,0.05228758169934644,,0.015250544662309368,0.013071895424836602,0.8571428571428571,0.34836246943655175,0.8608204778821353,0.8129786606539753,0.5373940339706589,0.6135714807603802,0.13902746153954232
yeast6,0.9792135091488154,0.032287417241742035,0.14693424267452818,,0.0,,0.7459568733153639,,0.330188679245283,,0.04380053908355795,0.25804359972624774,0.11205796641875655,0.028975741239892182,0.16779487510766508,0.01078167115902965,0.10330836615445063,0.009615384615384616,0.047955374256245235,0.8816663457835965,0.023037357206430076,,0.02358490566037741,,0.02088948787061995,,0.005390835579514825,0.0047169811320754715,0.875,0.16112120608774108,0.9517189905303913,0.7959425147175627,0.5186774625193113,0.6466635358320714,0.10509718230468754
yeast-1-2-8-9_vs_7,0.9913279098244758,0.010909537499605465,0.35872080056699873,,0.0,,0.8183738120380148,,0.5311510031678986,,0.07391763463569166,0.31045552220811967,0.1250141705243038,0.0454065469904963,0.20830413222121155,0.021119324181626188,0.1438580957354632,0.008064516129032258,0.023218896508083432,0.9542834650410511,0.030703173568781605,,0.03167898627243926,,0.03062302006335793,,0.008447729672650475,0.007391763463569166,0.875,0.20274324080637818,0.9346392029356525,0.7954551035762205,0.5319657971726045,0.683849785007663,0.10734083351270104
shuttle-c2-vs-c4,0.8862602023932982,0.2515897440515072,0.006208975115093244,,0.0,,0.0,,0.0,,0.031007751937984496,0.033133881095676415,0.07785276563423903,0.007751937984496124,0.08804509063256238,0.0,0.0,0.16666666666666666,0.2569039498426307,0.4619313743164474,0.0,,0.0,,0.0,,0.06976744186046512,0.015503875968992248,0.2222222222222222,0.2713895875081111,0.9026706231454006,0.8288517441860466,0.2367809683114952,0.9550073275316713,0.11824541472241684
glass5,0.9765298336753182,0.03147664458516035,0.1334504036606919,,0.0,,0.14018691588785048,,0.0,,0.07476635514018691,0.1972926251506968,0.12220768248964536,0.037383177570093455,0.19014368892677436,0.02336448598130841,0.15141240468177825,0.05263157894736842,0.1341359560866013,0.6342475325355926,0.0034082004874986804,,0.014018691588784993,,0.009345794392523366,,0.04205607476635514,0.02336448598130841,0.5555555555555556,0.25164107326284196,0.9123640336294114,0.7999648984248169,0.4623848321023376,0.8387002447668331,0.16719537828349545
yeast4,0.9803238366280821,0.032266027457317034,0.20242073209432607,,0.0,,0.9083557951482479,,0.6886792452830188,,0.0646900269541779,0.27630780806236915,0.11826109561798681,0.04043126684636118,0.1970348709843741,0.018194070080862535,0.13369776028189206,0.005952380952380953,0.034994204550199824,0.900230490914771,0.0332232534138337,,0.034366576819407024,,0.03301886792452835,,0.005390835579514825,0.0047169811320754715,0.875,0.21583811252498053,0.9289106994343632,0.7996566659335906,0.5180223852492355,0.6689173048886073,0.1060407785727114
ecoli4,0.9312010539149641,0.08914407021336647,0.18270662024736598,0.22065606233761634,0.0,0.0,0.1847346733460582,0.20711304491398236,0.005103716617398115,0.004614698394584369,0.044642857142857144,0.241805319351534,0.10817334782661615,0.03273809523809524,0.1782157082409509,0.020833333333333332,0.14303915200033565,0.02857142857142857,0.08884754763838565,0.7965649801587301,0.02929412984438262,0.03955961532481852,0.035406746920428445,0.04808473915876861,0.01726121979286536,0.02462036006367623,0.020833333333333332,0.01488095238095238,0.7142857142857143,0.23823076959200246,0.8954121233523353,0.8228322672352524,0.38085974845649506,0.8505089889638265,0.12987055037017267
vowel0,0.9510097044682996,0.07531144626681867,0.10550966313808928,,0.01816130499560134,,0.5961538461538461,,0.09210526315789473,,0.024291497975708502,0.12297487026330733,0.058120267826093336,0.0,0.0,0.019230769230769232,0.1374047164914606,0.02,0.057060125023888866,0.8589910914783065,0.01314514460380678,,0.028340080971659964,,0.011133603238866363,,0.013157894736842105,0.005060728744939271,0.38461538461538464,0.44010801431016283,0.8015479359217389,0.8432907145113192,0.24126599980323693,0.7441579507476803,0.2871260934818831
glass2,0.9917266822841961,0.010803919723168317,0.3733127542808097,,4.855760902243541e-07,,0.5373831775700935,,0.16822429906542055,,0.17757009345794392,0.3187089687742933,0.14607471084420115,0.09813084112149532,0.2981889965037424,0.04672897196261682,0.21155261368879985,0.018867924528301886,0.0394912692207373,0.9125906192680584,0.07358095548924082,,0.07943925233644855,,0.07009345794392519,,0.04205607476635514,0.02336448598130841,0.5555555555555556,0.40020027269011,0.8286868893549542,0.8172963011715151,0.440739081873898,0.8226985459691072,0.20436262388424767
